timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781778530476,1887,HTTP Request,200,OK,Stress Test 1-2,text,true,,231,161,11,11,http://localhost:8079/?token=518502792&user=-1355041423&config=3,1887,0,1
1781778530271,2092,HTTP Request,200,OK,Stress Test 1-1,text,true,,231,161,11,11,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2092,0,2
1781778530682,2896,HTTP Request,200,OK,Stress Test 1-3,text,true,,231,161,17,17,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2896,0,1
1781778530871,2849,HTTP Request,200,OK,Stress Test 1-4,text,true,,231,161,18,18,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2849,0,0
1781778531075,2645,HTTP Request,200,OK,Stress Test 1-5,text,true,,231,161,18,18,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2645,0,1
1781778531282,2438,HTTP Request,200,OK,Stress Test 1-6,text,true,,231,161,18,18,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2438,0,1
1781778531471,2249,HTTP Request,200,OK,Stress Test 1-7,text,true,,231,161,18,18,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2249,0,0
1781778531671,2576,HTTP Request,200,OK,Stress Test 1-8,text,true,,231,161,20,20,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2576,0,0
1781778531871,2376,HTTP Request,200,OK,Stress Test 1-9,text,true,,231,161,20,20,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2376,0,1
1781778532070,2177,HTTP Request,200,OK,Stress Test 1-10,text,true,,231,161,20,20,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2177,0,1
1781778533270,2327,HTTP Request,200,OK,Stress Test 1-1,text,true,,231,161,27,27,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2327,0,0
1781778533476,2121,HTTP Request,200,OK,Stress Test 1-2,text,true,,231,161,27,27,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2121,0,0
1781778532271,3326,HTTP Request,200,OK,Stress Test 1-11,text,true,,231,161,27,27,http://localhost:8079/?token=518502792&user=-1355041423&config=3,3326,0,0
1781778532471,3126,HTTP Request,200,OK,Stress Test 1-12,text,true,,231,161,27,27,http://localhost:8079/?token=518502792&user=-1355041423&config=3,3126,0,0
1781778532670,2927,HTTP Request,200,OK,Stress Test 1-13,text,true,,231,161,27,27,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2927,0,1
1781778532871,2726,HTTP Request,200,OK,Stress Test 1-14,text,true,,231,161,27,27,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2726,0,0
1781778533070,2527,HTTP Request,200,OK,Stress Test 1-15,text,true,,231,161,27,27,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2527,0,1
1781778533270,2327,HTTP Request,200,OK,Stress Test 1-16,text,true,,231,161,27,27,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2327,0,1
1781778533470,2128,HTTP Request,200,OK,Stress Test 1-17,text,true,,231,161,27,27,http://localhost:8079/?token=518502792&user=-1355041423&config=3,2128,0,1
